state,quartEstb,Jan,Feb,March,TotQWage,AveWeeklyWage,MarchEmplQuo,LocQ
Alabama,123076,1594388,1604380,1610942,19513178088,936,0.96,0.94
Alaska,20159,228221,233482,235156,3348717734,1109,0.89,0.87
Arizona,161837,2472424,2486452,2491189,34238035703,1061,1.01,1.01
Arkansas,87758,1007868,1013531,1016840,11909877844,905,0.98,0.98
California,1550398,14778299,14888990,14894520,271290684232,1405,1.01,1
Colorado,204236,2254244,2261867,2264387,36855006513,1254,0.99,1
Connecticut,119059,1417910,1414344,1419627,28167316756,1529,1.01,1.03
Delaware,32651,377655,377073,380343,5933451643,1206,1.01,1
District_of_Columbia,40081,527032,534392,537462,12812080468,1849,0.82,0.78
Florida,711572,7706406,7770049,7792017,101859985012,1010,1.03,1.01
Georgia,275624,3798863,3817608,3832241,57009924433,1149,1,1.02
Hawaii,42636,530655,532638,533725,6668160829,964,0.95,0.9
Idaho,63476,603702,606814,611559,6566059265,832,0.98,0.98
Illinois,366458,5094814,5087256,5120950,86324788001,1302,1.02,1.03
Indiana,164136,2642453,2650460,2659064,33495646426,972,1.02,1.02
Iowa,97314,1285047,1278902,1284202,15656967796,939,0.99,0.98
Kansas,83878,1127289,1128227,1130507,14186486585,967,0.96,0.98
Kentucky,117057,1574878,1573246,1582970,19066467226,930,0.99,0.99
Louisiana,128917,1598208,1604555,1605722,20106951481,965,0.99,0.99
Maine,51046,501617,501112,501630,6008277623,922,0.98,0.98
Maryland,170602,2156891,2156109,2169537,33642011521,1198,0.96,0.92
Massachusetts,255355,3107494,3100099,3117239,64885916454,1606,1.03,1.05
Michigan,242198,3719119,3716514,3735034,52388897777,1082,1.02,1.01
Minnesota,173649,2457417,2449589,2447982,38981071393,1223,1.01,1.02
Mississippi,70493,891781,894635,895740,8907594012,766,0.93,0.91
Missouri,197120,2346435,2349960,2364029,30879277263,1009,1,1.01
Montana,46473,373501,372768,373897,4021105479,828,0.96,0.93
Nebraska,68566,803938,803200,805143,9561527729,915,0.98,0.97
Nevada,81900,1222604,1225719,1232757,15499971456,972,1.04,1.01
New_Hampshire,50467,569184,567255,567339,8735057600,1183,1.02,1.03
New_Jersey,271203,3421739,3417987,3442505,63028867977,1415,1,1
New_Mexico,57270,641168,643590,644954,7280908032,871,0.92,0.89
New_York,632670,7931913,7957440,8003997,175577021057,1696,1,1.02
North_Carolina,274485,3708065,3726627,3742412,51748789426,1068,0.99,0.99
North_Dakota,29602,340733,340289,341536,4621499426,1043,0.97,0.98
Ohio,285770,4613836,4610236,4630063,61938284642,1032,1.02,1
Oklahoma,105531,1274156,1278551,1285168,16118236068,969,0.94,0.94
Oregon,155207,1630823,1628803,1638370,22299492406,1051,1,0.98
Pennsylvania,346492,5142891,5134627,5165114,76999436387,1151,1.04,1.03
Puerto_Rico,44204,665709,669165,677179,4665893013,535,0.91,0.87
Rhode_Island,37967,411569,413294,412770,5804599546,1082,1.02,0.99
South_Carolina,134174,1735033,1743455,1755673,20325611463,896,0.98,0.96
South_Dakota,31549,344249,343711,344710,3900071458,872,0.97,0.97
Tennessee,161821,2557259,2566474,2578722,33689527998,1009,1.01,1.01
Texas,688553,10454200,10529721,10545693,169453575069,1240,1,1.01
Utah,101924,1252245,1259063,1265849,16194150761,989,0.99,0.99
Vermont,24404,255082,255170,254880,3101525113,935,0.97,0.95
Virgin_Islands,3226,24898,25862,26087,296806574,891,0.84,0.76
Virginia,276801,3154465,3162577,3180971,49242603234,1196,0.96,0.96
Washington,245690,2780143,2758848,2803643,50262240002,1390,0.98,0.98
West_Virginia,47248,546663,543955,547801,6343362135,893,0.94,0.93
Wisconsin,170633,2453145,2445392,2455139,31776196299,997,1.02,1.01
Wyoming,25251,203053,202766,203395,2500739608,947,0.89,0.88